DateVAST,Plate,Well,Group,Genotype,Genotype2,Age,GeneralIssues,Truncated,contourDV_regionpropsLengthOfCentralLine_pixel,contourDV_regionpropsWidth_pixel,yolkDV_regionpropsHeight_pixel,eye1DV_regionpropsArea_pixel2,eye2DV_regionpropsArea_pixel2,YdistanceEdge_eye1DV_eye2DV_pixel,EukledianDistance_eye1DV_eye2DV_pixel,AreaBeforeXMin_contourDV_yolkDV_pixel2,XdistanceBeforeXMin_contourDV_yolkDV_pixel,MeanOfArea_eye1DV_eye2DV_pixel2,DV_HeadAngle_angle,contour_regionpropsWidth_pixel,eye_regionpropsArea_pixel2,pericard_regionpropsArea_pixel2,yolk_regionpropsArea_pixel2,EukledianDistance_eye_otolith2_pixel,AngleToX_otolith2_eye_angle,AngleToX_mouth_tip_otolith2_angle,XdistanceCenter_eye_mouth_tip_pixel,ChordalDistance_pixel,MandibularArchDistance_pixel,JawEyeOtolithAngle_angle,EyeContourXdistance_pixel,HeadArea_pixel2,HeadTrunkAngle_angle,Scale_pixel_per_600um,Conversion_factor,contourDV_regionpropsLengthOfCentralLine_um,contourDV_regionpropsWidth_um,yolkDV_regionpropsHeight_um,eye1DV_regionpropsArea_um2,eye2DV_regionpropsArea_um2,YdistanceEdge_eye1DV_eye2DV_um,EukledianDistance_eye1DV_eye2DV_um,AreaBeforeXMin_contourDV_yolkDV_um2,XdistanceBeforeXMin_contourDV_yolkDV_um,MeanOfArea_eye1DV_eye2DV_um2,DV_HeadAngle_angle,contour_regionpropsWidth_um,eye_regionpropsArea_um2,pericard_regionpropsArea_um2,yolk_regionpropsArea_um2,EukledianDistance_eye_otolith2_um,AngleToX_otolith2_eye_angle,AngleToX_mouth_tip_otolith2_angle,XdistanceCenter_eye_mouth_tip_um,ChordalDistance_um,MandibularArchDistance_um,JawEyeOtolithAngle_angle,EyeContourXdistance_um,HeadArea_um2,HeadTrunkAngle_angle
2021.10.11,1,B03,PDZK1,pdzk1KO,pdzk1KO,3,No,No,604.6794,623.1,82.1,1807,1873,24.9,65.04189,9832,110.1,1840,80.7874,605.1,2137,1275,8789,65.00719,10.38431,25.21792,24.65206,614.4294,17,25.37628,36.55124,4401,168.9861,123,0.004878049,2949.65561,3039.512195,400.4878049,77.69777513,83.47719215,121.4634146,317.2775122,2300.255181,537.0731707,80.56157049,80.7874,2951.707317,108.667912,38.68233195,1838.108769,317.1082439,10.38431,25.21792,120.2539512,2997.216585,82.92682927,25.37628,178.2987317,460.8875907,168.9861
2021.10.11,1,B04,HYDIN,hydinKO,hydinKO,3,No,No,582.069,600.9,105,1420,1523,22.9,61.55445,7501,97,1471.5,72.40826,573,1594,1104,9215,52.66305,19.38173,25.19189,24.33449,574.928,12,10.27797,39.88394,3653,159.4765,123,0.004878049,2839.360976,2931.219512,512.195122,47.98096371,55.19402736,111.7073171,300.2656098,1338.845949,473.1707317,51.5243843,72.40826,2795.121951,60.46010708,29.00216538,2020.612136,256.8929268,19.38173,25.19189,118.7048293,2804.526829,58.53658537,10.27797,194.5558049,317.5350149,159.4765
2021.10.11,1,B05,HYDIN,hydinKO,hydinKO,3,No,No,562.9898,575.1,106.2,1120,1087,22,54.59674,5998,87.1,1103.5,69.85133,549,1307,981,9967,,,,37.26218,563.8516,8,,40.66488,,,123,0.004878049,2746.291707,2805.365854,518.0487805,29.84889946,28.11585961,107.3170732,266.325561,856.0619631,424.8780488,28.97590125,69.85133,2678.04878,40.64839976,22.89972635,2363.856966,,,,181.7667317,2750.49561,39.02439024,,198.3652683,,
2021.10.11,1,B06,HYDIN,hydinKO,hydinKO,3,No,No,528.7936,544,114.2,995,832,26.9,55.69524,4812,74,913.5,77.18512,544,758,1178,8372,44.38409,38.61656,43.60872,23.99856,547.4822,17,5.987686,39.7876,3213,139.2658,123,0.004878049,2579.480976,2653.658537,557.0731707,23.55800119,16.47171921,131.2195122,271.6840976,550.9897442,360.9756098,19.85680547,77.18512,2653.658537,13.67195717,33.02044021,1667.825913,216.5077561,38.61656,43.60872,117.0661463,2670.644878,82.92682927,5.987686,194.0858537,245.6482808,139.2658
2021.10.11,1,B07,ARHGAP11,arhgap11KO,arhgap11KO,3,No,No,555.0265,570,114,1298,1220,20.9,57.83464,6928,96,1259,69.92149,564,1436,2223,8801,54.08271,25.39962,43.14383,2.817105,572.7798,6,40.48519,33.93524,3441,151.6805,123,0.004878049,2707.446341,2780.487805,556.097561,40.09051755,35.41701368,101.9512195,282.1201951,1142.110268,468.2926829,37.71757287,69.92149,2751.219512,49.06831648,117.5902201,1843.131493,263.8180976,25.39962,43.14383,13.74197561,2794.047805,29.26829268,40.48519,165.5377561,281.7485068,151.6805
2021.10.11,1,B08,ARHGAP11,arhgap11KO,arhgap11KO,3,No,No,592.295,610,89.1,1339,1598,27.9,63.66949,8874,105,1468.5,84.27519,595,1477,1112,9051,63.748,12.65243,28.17471,21.95608,603.3193,20,26.61525,39.16317,4240,164.9005,123,0.004878049,2889.243902,2975.609756,434.6341463,42.66320048,60.76392623,136.097561,310.582878,1873.834051,512.195122,51.31450922,84.27519,2902.439024,51.9102677,29.42400952,1949.330184,310.9658537,12.65243,28.17471,107.1028293,2943.020976,97.56097561,26.61525,191.0398537,427.7834622,164.9005
2021.10.11,1,B10,control,scrambled,control,3,No,No,548.4113,565,102.1,1197,1176,27,60.01276,6519,90,1186.5,69.92393,554,1499,1171,8106,48.58445,27.41008,41.54022,22.58109,565.3838,6,16.25569,43.86991,3822,151.8306,123,0.004878049,2675.177073,2756.097561,498.0487805,34.09420583,32.90841166,131.7073171,292.7451707,1011.24,439.0243902,33.49868531,69.92393,2702.439024,53.4681975,32.62917311,1563.527329,236.9973171,27.41008,41.54022,110.1516585,2757.969756,29.26829268,16.25569,213.999561,347.5950982,151.8306
2021.10.11,1,B11,control,scrambled,control,3,No,No,603.6923,620.9,86.1,1776,1846,24.8,64.93901,8915,103,1811,87.95914,606.1,1805,842,9076,62.80788,13.18406,28.45618,23.62337,611.7408,12,24.78064,37.58726,4090,164.1413,123,0.004878049,2944.840488,3028.780488,420,75.05475312,81.08782867,120.9756098,316.7756585,1891.189173,502.4390244,78.04214158,87.95914,2956.585366,77.52587745,16.87005354,1960.113647,306.3799024,13.18406,28.45618,115.2359512,2984.101463,58.53658537,24.78064,183.3524878,398.05116,164.1413
2021.10.11,1,B12,control,uninjected,control,3,No,No,624.3542,642,88.1,1839,1857,23.8,66.60166,9772,113,1848,75.43942,636.1,1744,1367,9365,59.91433,15.82907,28.81426,28.46911,646.305,17,18.64601,41.30562,4719,163.2295,123,0.004878049,3045.630244,3131.707317,429.7560976,80.47402736,82.05708507,116.097561,324.8861463,2272.266127,551.2195122,81.26362879,75.43942,3102.926829,72.37444378,44.46612731,2086.929804,292.2650244,15.82907,28.81426,138.8737073,3152.707317,82.92682927,18.64601,201.4908293,529.8979417,163.2295
2021.10.11,1,C02,PDZK1,pdzk1KO,pdzk1KO,3,No,No,617.5512,636,90.2,1754,1908,24.8,65.97478,9296,105,1831,82.37185,628,1986,1410,9456,66.27019,11.59626,28.86082,18.17904,634.8373,14,31.90076,33.27795,4316,168.3633,123,0.004878049,3012.444878,3102.439024,440,73.20680547,86.6261511,120.9756098,321.8281951,2056.290684,512.195122,79.7753956,82.37185,3063.414634,93.85356336,47.30755503,2127.684378,323.2692195,11.59626,28.86082,88.6782439,3096.767317,68.29268293,31.90076,162.3314634,443.2565378,168.3633
